Emma,f,1051.9
Olivia,f,1010.4
Noah,f,962.6
Liam,f,901.9
Sophia,f,895.4
Ava,f,841.6
Mason,f,815.8
Isabella,f,801.2
Jacob,f,780.3
William,f,780
Mia,f,765.8
Ethan,f,739.6
James,f,725.5
Alexander,f,713.4
Michael,f,706.6
Benjamin,f,671.4
Elijah,f,666.6
Daniel,f,661.5
Aiden,f,660
Abigail,f,636.2
Logan,f,634.6
Matthew,f,624
Emily,f,606
Lucas,f,604.2
Jackson,f,601
Charlotte,f,585.6
David,f,576.8
Oliver,f,571.9
Jayden,f,566.1
Joseph,f,561.2
Gabriel,f,532
Samuel,f,529.5
Harper,f,529.2
Carter,f,529.2
Anthony,f,521.2
Madison,f,518.7
John,f,508.3
Amelia,f,506.2
Dylan,f,504.8
Luke,f,504.2
Elizabeth,f,499
Henry,f,498.9
Sofia,f,498.7
Andrew,f,494.7
Isaac,f,487.4
Evelyn,f,481.3
Christopher,f,480.6
Avery,f,480.5
Joshua,f,479.6
Wyatt,f,473.5
Sebastian,f,472.1
Owen,f,471.1
Caleb,f,430.6
Nathan,f,420.8
Ryan,f,418.1
Jack,f,417.2
Hunter,f,408.7
Chloe,f,407.4
Levi,f,406.3
Ella,f,405.8
Christian,f,401
Jaxon,f,395.4
Julian,f,394.8
Grace,f,392.2
Victoria,f,391.5
Landon,f,389.6
Grayson,f,387.4
Aubrey,f,380.2
Jonathan,f,373.8
Isaiah,f,371.4
Scarlett,f,366.9
Zoey,f,356.6
Charles,f,351.5
Thomas,f,351.4
Aaron,f,350.9
Eli,f,349.7
Addison,f,345.4
Lily,f,341.9
Lillian,f,339.6
Natalie,f,334.1
Connor,f,332
Jeremiah,f,331.7
Cameron,f,331.2
Hannah,f,329.3
Aria,f,329.2
Josiah,f,325.9
Layla,f,325
Brooklyn,f,323.9
Adrian,f,320.1
Alexa,f,311.6
Zoe,f,309.8
Colton,f,309.3
Jordan,f,308.6
Brayden,f,306.9
Penelope,f,306
Nicholas,f,305.6
Robert,f,299.8
Angel,f,298.9
Hudson,f,296.4
Riley,f,294.9
Lincoln,f,294
Evan,f,289.3
Leah,f,288.6
Audrey,f,288.4
Dominic,f,286.7
Austin,f,284.5
Gavin,f,283.2
Nolan,f,281.9
Savannah,f,279.7
Allison,f,275.4
Samantha,f,274.1
Nora,f,273.9
Skylar,f,271.7
Camila,f,271.7
Parker,f,265.6
Adam,f,264.4
Chase,f,263.5
Anna,f,263.2
Jace,f,262
Paisley,f,261.3
Ian,f,260.9
Cooper,f,258.4
Easton,f,256.5
Ariana,f,254.9
Kevin,f,254.4
Jose,f,253.9
Tyler,f,253.1
Brandon,f,250.9
Ellie,f,250
Aaliyah,f,249.9
Asher,f,249.6
Claire,f,248.3
Jaxson,f,248.1
Violet,f,247
Stella,f,246.4
Mateo,f,246
Jason,f,245.1
Sadie,f,244.5
Mila,f,243.5
Ayden,f,239.9
Zachary,f,237.3
Gabriella,f,236.6
Lucy,f,233.2
Carson,f,233
Arianna,f,232.4
Kennedy,f,232.3
Sarah,f,231.3
Madelyn,f,230.8
Eleanor,f,227.5
Xavier,f,227.2
Leo,f,225
Kaylee,f,224.6
Caroline,f,222.4
Hazel,f,220.7
Hailey,f,218.1
Genesis,f,214.4
Kylie,f,214
Ezra,f,212.1
Autumn,f,211.9
Piper,f,211.9
Maya,f,211.8
Bentley,f,211.5
Sawyer,f,209.4
Kayden,f,208
Blake,f,207.8
Nathaniel,f,206
Nevaeh,f,205.1
Serenity,f,203.8
Ryder,f,203.8
Theodore,f,202.8
Peyton,f,200.9
Elias,f,200.4
Mackenzie,f,198.3
Bella,f,194.3
Eva,f,193
Taylor,f,192.9
Naomi,f,192.8
Tristan,f,191.7
Roman,f,190.5
Leonardo,f,188
Aubree,f,186.9
Aurora,f,186.7
Camden,f,185
Brody,f,183.7
Luis,f,183.4
Miles,f,182.6
Micah,f,182.5
Vincent,f,182.4
Justin,f,182.2
Melanie,f,179.9
Lydia,f,179.5
Brianna,f,178.7
Ruby,f,177.4
Katherine,f,177.2
Greyson,f,176.5
Ashley,f,176.2
Declan,f,175.6
Alexis,f,175.4
Alice,f,175.4
Cora,f,174.6
Maxwell,f,173.6
Juan,f,173.2
Julia,f,173
Cole,f,171.4
Damian,f,171.4
Madeline,f,170.8
Faith,f,169.9
Annabelle,f,167.9
Carlos,f,167.7
Max,f,167.6
Alyssa,f,167.1
Isabelle,f,165.3
Vivian,f,164.5
Harrison,f,163.6
Gianna,f,163.3
Weston,f,163.1
Brantley,f,161.9
Braxton,f,161.7
Axel,f,159.3
Quinn,f,159
Diego,f,158.8
Abel,f,158.7
Wesley,f,158.5
Santiago,f,158
Clara,f,157.6
Reagan,f,157
Jesus,f,156.2
Silas,f,155.6
Khloe,f,154.3
Alexandra,f,154.2
Giovanni,f,153.8
Bryce,f,153.6
Jayce,f,153.2
Hadley,f,152.8
Eliana,f,152.8
Bryson,f,152.4
Alex,f,152.2
Sophie,f,150.8
London,f,150.1
Everett,f,149.6
George,f,149.6
Eric,f,149.4
Ivan,f,149.4
Emmett,f,149.3
Elena,f,148.7
Kaiden,f,148.3
Ashton,f,147.9
Kimberly,f,146
Bailey,f,145.6
Maria,f,144.8
Kingston,f,144.5
Luna,f,144.2
Willow,f,143.5
Jasmine,f,143.4
Kinsley,f,142.7
Jonah,f,142.2
Valentina,f,141.5
Kayla,f,140.5
Jameson,f,140
Delilah,f,139.8
Andrea,f,139.5
Kai,f,139.1
Natalia,f,138.8
Lauren,f,138.3
Morgan,f,138
Rylee,f,137.9
Sydney,f,136.8
Maddox,f,136.8
Timothy,f,136.3
Ezekiel,f,135.9
Ryker,f,135.1
Adalynn,f,135
Mary,f,134.5
Emmanuel,f,134.3
Ximena,f,133.9
Hayden,f,133.8
Antonio,f,133.6
Bennett,f,132.7
Steven,f,132.7
Jade,f,131.7
Liliana,f,131.5
Richard,f,131.2
Brielle,f,130.2
Jude,f,130.1
Ivy,f,128.6
Trinity,f,128.4
Josephine,f,128
Luca,f,127.9
Edward,f,127.6
Joel,f,127.4
Adalyn,f,126.6
Jocelyn,f,126.1
Victor,f,126.1
Miguel,f,125.9
Malachi,f,125.5
King,f,125.3
Emery,f,124.5
Patrick,f,124.3
Kaleb,f,123.8
Adeline,f,123.6
Bryan,f,122.3
Jordyn,f,122.1
Alan,f,121.7
Ariel,f,120.5
Marcus,f,120.2
Preston,f,119.8
Everly,f,119.6
Abraham,f,119.5
Calvin,f,119.4
Colin,f,119.1
Lilly,f,118.5
Paige,f,117.7
Bradley,f,117.7
Jeremy,f,117.4
Kyle,f,117.1
Isla,f,116.9
Graham,f,116.8
Lyla,f,116.5
Grant,f,115.9
Makayla,f,115.6
Molly,f,115.5
Jesse,f,114.8
Kaden,f,114.5
Emilia,f,114
Alejandro,f,113.6
Mya,f,113.1
Kendall,f,113
Oscar,f,112.8
Jase,f,112.4
Karter,f,112.1
Melody,f,112
Isabel,f,111
Maverick,f,111
Aidan,f,110.6
Brooke,f,110.5
Tucker,f,109.5
Mckenzie,f,109.4
Nicole,f,108.8
Payton,f,108.7
Avery,f,108.7
Amir,f,108.5
Brian,f,108.5
Margaret,f,108
Mariah,f,107.8
Iker,f,107.1
Matteo,f,106.3
Eden,f,105.9
Athena,f,105.4
Amy,f,105
Caden,f,104.6
Zayden,f,104.5
Norah,f,104.4
Londyn,f,104
Riley,f,102.1
Valeria,f,102
August,f,101.6
Sara,f,101.4
Aliyah,f,101.2
Mark,f,101.1
Maximus,f,101
Angelina,f,100.9
Gracie,f,99.9
Brady,f,99.7
Rose,f,99.6
Kenneth,f,99.5
Paul,f,99.4
Rachel,f,98.8
Jaden,f,98.6
Juliana,f,98
Nicolas,f,97.9
Laila,f,97.3
Brooklynn,f,97.1
Beau,f,97
Valerie,f,96.8
Alina,f,95.7
Reese,f,95.5
Dean,f,95.2
Elise,f,94.9
Jake,f,94.4
Peter,f,94.4
Xander,f,94.3
Eliza,f,93.8
Elliot,f,93.5
Alaina,f,93.3
Finn,f,92.8
Raelynn,f,92.7
Leilani,f,92.4
Derek,f,92.4
Sean,f,92.3
Catherine,f,92.2
Emerson,f,92
Cayden,f,91.9
Elliott,f,91.7
Cecilia,f,91.5
Jax,f,91.2
Genevieve,f,91
Jasper,f,90.7
Daisy,f,90.6
Lorenzo,f,90.5
Omar,f,90.3
Harmony,f,89.9
Beckett,f,89.6
Vanessa,f,88.9
Adriana,f,88.8
Rowan,f,88.8
Presley,f,88.4
Rebecca,f,88.3
Destiny,f,88.2
Hayden,f,88
Julianna,f,87.7
Gael,f,87.5
Michelle,f,87.4
Corbin,f,86.9
Adelyn,f,86.5
Waylon,f,86.5
Arabella,f,86.4
Summer,f,86.4
Callie,f,86.2
Kaitlyn,f,85.3
Ryleigh,f,85.2
Myles,f,85.1
Lila,f,84.7
Daniela,f,84.5
Arya,f,84.4
Tanner,f,84
Jorge,f,83.8
Javier,f,83.4
Alana,f,83.3
Esther,f,82.7
Finley,f,82.6
Zion,f,82.6
Andres,f,82.4
Gabrielle,f,82.2
Charlie,f,82
Paxton,f,82
Emiliano,f,81.9
Jessica,f,81.5
Brooks,f,81.4
Zane,f,81.4
Simon,f,80.6
Charlie,f,80.3
Stephanie,f,80.3
Judah,f,80
Tessa,f,79.8
Makenzie,f,79.6
Ana,f,79.3
Griffin,f,79
Amaya,f,78.7
Alexandria,f,78.6
Alivia,f,78.3
Nova,f,78.1
Cody,f,77.9
Gunner,f,77.9
Dawson,f,77.7
Anastasia,f,77.2
Iris,f,77.1
Israel,f,77.1
Marley,f,76.8
Fiona,f,76.7
Angela,f,76.5
Giselle,f,76.4
Rylan,f,76.2
Kate,f,75.9
Alayna,f,74.9
Gage,f,74.9
Lola,f,74.6
Lucia,f,74.4
Juliette,f,74.4
Parker,f,74.4
Messiah,f,74.4
River,f,74
Teagan,f,73.9
Sienna,f,73.8
Kameron,f,73.8
Georgia,f,73.6
Hope,f,73.5
Cali,f,73.4
Vivienne,f,73.3
Stephen,f,72.9
Francisco,f,72.8
Izabella,f,72.5
Kinley,f,72.5
Clayton,f,72.3
Daleyza,f,71.8
Kylee,f,71.6
Zander,f,71.6
Jayla,f,71.3
Chance,f,71.2
Katelyn,f,71
Eduardo,f,71
Spencer,f,70.4
Lukas,f,70.3
Juliet,f,69.9
Damien,f,69.6
Dallas,f,69.3
Conner,f,69.1
Travis,f,68.7
Maggie,f,68.5
Dakota,f,68.4
Knox,f,68.4
Delaney,f,68.3
Brynlee,f,67.9
Raymond,f,67.9
Peyton,f,67.7
Devin,f,67.6
Keira,f,67.5
Felix,f,67.5
Jayceon,f,67.5
Camille,f,67.3
Collin,f,67.3
Amari,f,67.2
Leila,f,67.1
Erick,f,67.1
Cash,f,67
Mckenna,f,66.9
Aniyah,f,66.9
Jaiden,f,66.5
Fernando,f,66.4
Cristian,f,66.3
Josue,f,66.1
Noelle,f,66
Keegan,f,66
Josie,f,65.9
Jennifer,f,65.9
Garrett,f,65.9
Rhett,f,65.9
Melissa,f,65.8
Ricardo,f,65.8
Martin,f,65.7
Reid,f,65.7
Seth,f,65.4
Gabriela,f,65
Allie,f,64.9
Eloise,f,64.9
Andre,f,64.6
Cesar,f,64.2
Titus,f,64.1
Donovan,f,63.7
Cassidy,f,63.6
Manuel,f,63.6
Mario,f,63.4
Caiden,f,63.3
Adriel,f,63.3
Kyler,f,63.3
Jacqueline,f,63.1
Brynn,f,62.9
Sawyer,f,62.9
Milo,f,62.7
Evangeline,f,62.6
Jordan,f,62.5
Paris,f,62.4
Archer,f,62.4
Olive,f,61.9
Ayla,f,61.8
Jeffrey,f,61.8
Holden,f,61.5
Rosalie,f,61.2
Kali,f,60.9
Arthur,f,60.8
Maci,f,60.6
Gemma,f,60.3
Lilliana,f,60.2
Karson,f,60.1
Raegan,f,60
Rafael,f,59.8
Lena,f,59.7
Adelaide,f,59.5
Shane,f,59.5
Lane,f,59.4
Louis,f,59.3
Journey,f,59.2
Angelo,f,59.2
Remington,f,59
Troy,f,58.9
Adelynn,f,58.8
Emerson,f,58.8
Alessandra,f,58.7
Kenzie,f,58.7
Maximiliano,f,58.6
Hector,f,58.5
Miranda,f,58.4
Haley,f,58.3
Emilio,f,58.3
June,f,58.2
Anderson,f,58.1
Harley,f,58
Trevor,f,58
Charlee,f,57.9
Lucille,f,57.5
Talia,f,57.5
Skyler,f,57.4
Makenna,f,57.3
Phoebe,f,57.3
Jane,f,57.2
Lyric,f,57
Angel,f,56.9
Phoenix,f,56.8
Elaina,f,56.7
Walter,f,56.6
Adrianna,f,56.5
Johnathan,f,56.5
Ruth,f,56.4
Miriam,f,56.3
Johnny,f,56.2
Edwin,f,56.1
Julius,f,56.1
Barrett,f,56
Diana,f,55.9
Mariana,f,55.8
Danielle,f,55.8
Leon,f,55.8
Jenna,f,55.7
Shelby,f,55.3
Nina,f,55.3
Tyson,f,55.2
Madeleine,f,54.9
Elliana,f,54.8
Tobias,f,54.7
Amina,f,54.6
Edgar,f,54.6
Amiyah,f,54.5
Chelsea,f,54.4
Joanna,f,54.4
Jada,f,54.2
Dominick,f,54.2
Lexi,f,54.1
Katie,f,53.9
Maddison,f,53.8
Fatima,f,53.8
Vera,f,53.8
Marshall,f,53.8
Marco,f,53.2
Malia,f,52.9
Joaquin,f,52.9
Lilah,f,52.8
Madilyn,f,52.8
Dante,f,52.6
Andy,f,52.4
Amanda,f,52.3
Daniella,f,52.3
Cruz,f,52.3
Alexia,f,52.2
Ali,f,52.2
Kathryn,f,52.1
Paislee,f,52.1
Selena,f,52.1
Finley,f,52.1
Laura,f,51.8
Annie,f,51.7
Nyla,f,51.7
Catalina,f,51.6
Kayleigh,f,51.5
Dalton,f,51.5
Sloane,f,51.5
Gideon,f,51.4
Reed,f,51.4
Kamila,f,51.3
Enzo,f,51.3
Sergio,f,51.3
Jett,f,51.2
Lia,f,51
Haven,f,50.9
Thiago,f,50.8
Rowan,f,50.7
Kyrie,f,50.7
Ronan,f,50.5
Ashlyn,f,50.4
Christina,f,50.2
Amber,f,50.1
Myla,f,50
Cohen,f,50
Addilyn,f,49.9
Colt,f,49.9
Erin,f,49.9
Erik,f,49.9
Alison,f,49.8
Ainsley,f,49.7
Trenton,f,49.6
Raelyn,f,49.6
Jared,f,49.5
Walker,f,49.5
Cadence,f,49.4
Landen,f,49.4
Kendra,f,49.4
Heidi,f,49.2
Kelsey,f,49
Alexis,f,48.8
Nash,f,48.8
Nadia,f,48.8
Alondra,f,48.8
Jaylen,f,48.7
Cheyenne,f,48.7
Kaydence,f,48.7
Mikayla,f,48.6
River,f,48.6
Heaven,f,48.3
Gregory,f,48.1
Emanuel,f,48.1
Killian,f,47.8
Arielle,f,47.7
